Title,Framework,Hook Score,Why
"He secretly changed this freeway sign, helped millions of drivers","He secretly (Illegal Action), helped (Large number of entities)","+10610","Curiosity – This builds curiosity three ways: “Secretly” changing a sign makes this feel rebellious and secretive.



It’s counterintuitive that vandalizing something would help lots of people.



We know he changed the sign and helped millions of drivers, but we don’t know what he changed and how it helped people, so this opens a loop."
"Harvard Professor Reveals the Worst Thing To Do with Your Money","(Authority Figure) Reveals the Worst Thing To Do with Your (Posession)","+700","Authority – This title builds trust and credibility because it name drops an authority figure. Negativity – This title leverages fear because nobody wants to mess up with their money. Curiosity – “Reveals” makes you feel like you’re getting in on a secret."
"92% of Homeowners Use Teflon Pipe Tape Wrong – Here’s Why it Leaks","92% of (Specific Audience) Use (Tool) Wrong – Here’s Why (Problem)","+1008","Negativity – Telling somebody they’re using something simple wrong is a great way to grab their attention. Also, “Here’s Why it Leaks” mentions a problem this audience is experiencing, which also gets them interested. Curiosity – Finishing this with “Here’s Why it Leaks” opens a loop and builds curiosity."
"What I Learned From My Failed Coffee Shop","What I Learned From My Failed (Big Project)","+3463","Negativity – People love hearing about failure stories because they want to avoid it for themselves (among other potentially more negative reasons). Curiosity – This does a great job at opening a loop and making you want to know what he learned. Big Stakes – This might not have done as well if this was “What I learned from my failed coffee ebook,” but since this was such a big undertaking, it’s more interesting."
"5 Common Medications That Can Damage Your Liver | Healthy Care","5 Common (Solutions) That Can Damage Your (Possession)","+7071","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Negativity – This leverages the fear of damaging your liver. And this fear is increased because these medications are common. Curiosity – There’s contrast between “common medications” (things that are assumed to be good for you) and “damage your liver.”"
"Adobe is horrible. So I tried the alternative","(Leading Product or Method) is horrible. So I tried the alternative","+520","Negativity – This starts out with a common complaint that this creator’s audience has, which does a great job of grabbing their attention. Curiosity – This opens a loop and makes you wonder what happened when he tried the alternative. Authority – Since Adobe is the most popular product in the space, it grabs people’s attention. New Opportunity – If you think Adobe is horrible and would like to find an alternative, this title gets you excited and gives you hope."
"The REAL Truth About Growing Avocados from Seed – (this took 6 years)","The REAL Truth About [Doing activity from scratch] – ([Proof of effort])","+649","Curiosity – “The REAL Truth” makes you feel like you’re getting in on a secret. Credibility – Saying this took 6 years makes this video feel more believable."
"13 American Accents Ranked EASIEST to HARDEST to Understand","13 (Entities) Ranked EASIEST to HARDEST to (Action)","+1299","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Curiosity – Ranked lists build curiosity because you want to know what’s the best, worst, and where you’re at on the list."
"If you’re single but want a girlfriend, this video was literally made for you…","If you’re (Problem State) but want a (Solution), this video was literally made for you…","+1449","Specific Audience – This title makes it crystal clear who this video is for, which makes the target audience way more likely to click. Negativity & Desire – Calling out the problem (being single) and the exact solution (getting a girlfriend) does a great job at grabbing the audience’s attention and getting them to click. Curiosity – The thumbnail opens a loop because you want to know what saved his dating life."
"I make youtube videos so you can just copy me","","-92","This video probably flopped for several reasons. Let’s talk about the title first. This title violates the #1 rule of writing YouTube titles: be clear, not clever. This video is about his process for making YouTube videos, but that’s not very clear from the title. There are two ways we could improve it. The first is to make it more clear. Something like, “My Step By Process Process For Making YouTube Videos in 2024” But the second is to talk not about what the video is about, but about the end goal. Something like, “This Simple Process Helped Me Hit 100,000 YouTube Subscribers” The other reason this video probably flopped is because it’s about the wrong topic. People seem to want to watch this channel for tech tips. Here are some of his best videos: Adobe is horrible. So I tried the alternative (833K views)



The Linux Experience (695K views)



First PC Building Experience (519K views) A video about how to grow on YouTube doesn’t really fit here. If you want to avoid these mistakes, write clear titles and make content your audience wants to watch on your channel. Alright, that wraps up this week’s Creator Hooks! Hope you enjoyed this week’s edition and if you know a fellow creator who needs help writing better titles, please send them to creatorhooks.com. – Jake (@jthomas__ on Twitter) P.S. Read previous editions here. P.P.S. If you want to see all of the videos from Creator Hooks in one place, check out Creator Hooks Pro. Read last week’s edition »"
"The Crispiest Smashed Potatoes That Will Change Your Life","The (Superlative Adjective) (Entity) That Will Change Your Life","+553","Desire – This creator’s audience is into smashed potatoes. Plus, the word “crispiest” makes you almost taste and feel them in your mouth. Extreme – Extreme things (like “Crispiest Smashed Potatoes”) often make for good video topics because they’re unique and interesting. “Change Your Life” – I’ve seen this phrase work a lot in YouTube titles, so it’s worth mentioning here."
"PLUMBERS HATE me for sharing their SECRET","(Professionals or Authority Figures) HATE me for sharing their SECRET","+734","Curiosity – “Secret” makes you feel like you’re getting insider information here. Negativity – “Hate” brings some drama here and increases the value of the secret. Authority – Plumbers represent authority figures here, which also increases the value of the secret."
"I can’t get a job to save my life (1500+ applications) | Tech 2024","I can’t (Achieve Goal) to save my life ([Proof of Effort])","+1136","Negativity – Admitting a problem lots of people are struggling with is a great way to grab your audience’s attention. Credibility – This isn’t just him complaining after submitting a few applications. He says he submitted 1500+, which increases the magnitude of this problem. Timeliness – It’s well known that the job market is tough right now, plus this creator emphasizes that by dropping in “Tech 2024” at the end."
"How the Most Underrated High School Recruit made the NFL","How the Most Underrated (Entity) (Achieved Big Goal)","+11947","Curiosity – There’s contrast between “Most Underrated High School Recruit” and “made the NFL”, and it’s counterintuitive this would happen, too. Underdog – People love stories about underdogs."
"Street Photography With “The Bigma”","(Activity) With “The (Product Nickname)”","+418","Curiosity – This thumbnail is probably the main reason this video got so many views, and that’s because it builds curiosity two ways: The lens is enormous, which makes it unique, unexpected, and stick out on YouTube.



There’s contrast between “Huge Lens” and “Tiny Camera” and that’s accentuated by the font size. The title also accentuates the product’s uniqueness because it uses its funny nickname and puts it in quotes."
"Ancient Chinese Records of Jesus Change EVERYTHING We Knew About Christianity","Ancient (Entity) Records of (Entity) Change EVERYTHING We Knew About (Entity)","+509","Curiosity – This title builds curiosity two ways: “Ancient Chinese Records” feels mysterious.



“Change EVERYTHING We Knew” opens a loop and makes you want to know what changed. Credibility – “Ancient Chinese Records” makes the source of this video feel a bit more credible than just some random guy’s opinion."
"This RARE V8 Economy Car DESTROYED Everyone – The Motion Vega","This RARE (Counterintuitive Entity) (Impressive Action)","+636","Curiosity – There’s lots of contrast and counterintuitiveness here that builds curiosity: “V8 Economy Car” is an oxymoron because normally there isn’t a V8 in an economy car.



“Economy Car DESTROYED Everyone” is counterintuitive because normally economy cars are slow. Desire – This creator’s audience loves to learn about rare cars."
"4 MISTAKES Older People Believe in Street Fights that Everyone Knows","4 MISTAKES (Specific Audience) Believe in (Entity) that Everyone Knows","+839","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Negativity – Nobody wants to make a mistake or believe in mistakes, so this title grabs people’s attention. And it’s even more accentuated by the fact that these are mistakes “Everyone Knows.” Specific Audience – By specifically calling out “older people” it makes older people way more likely to click. Calling out a specific group of people can be a great strategy because they’ll feel like you made the video specifically for them."
"The UNLIKELY Defender… Story of OVERCOMING FEAR to Stay ALIVE!","","-94","This video probably flopped for two reasons: First, the title could be better. It’s too bland and vague. Two things that could make it better are to add more curiosity and make it more specific. Here’s an example: “How This Regular Guy Stopped A Mass Shooter With His Bare Hands.” It’s counterintuitive to stop a mass shooter with your bare hands, and even more so if you’re just a “regular guy.” Plus, it’s more specific. We know that he stopped a mass shooter with his bare hands, instead of just overcoming fear to stay alive. Being more specific is one way to make a title more interesting. But the second, and more important reason this video flopped is that it doesn’t fit with the rest of the videos on the channel. Most of the videos that do well on this channel are educational videos that provide a benefit to the audience. This is an entertainment video that tells a story. While it’s good to experiment, you run the risk of having your video flop when you don’t give the audience what they want and expect from your channel. Alright, that wraps up this week’s Creator Hooks! Hope you enjoyed this week’s edition and if you know a fellow creator who needs help writing better titles, please send them to creatorhooks.com. – Jake (@jthomas__ on Twitter) P.S. Read previous editions here. P.P.S. If you want to see all of the videos from Creator Hooks in one place, check out Creator Hooks Pro. Read last week’s edition »"
"When “Gamers” join the real army","When “(Fakers)” join the real (Entity)","+376","Curiosity – The contrast of “Gamers” (who play fake games) and “real army” builds curiosity and humor here."
"The ONLY instrument with NO LIMITS","The ONLY (Item) with NO LIMITS","+444","Curiosity – This title builds curiosity two ways: It opens a loop and makes you wonder what instrument this is.



“The ONLY” adds a constraint which makes this way more interesting and adds to the curiosity. Epic – “NO LIMITS” makes this video feel epic. Desire – This creator’s audience likes cool instruments."
"Always Sign Your Art (never date it)","Always [Action] Your [Possession] (never [Similar Action] it)","+458","Negativity – “(never date it)” is a warning that grabs your attention. Curiosity – It’s counterintuitive to “never date” your art. Why wouldn’t you do that? This makes you want to find out why you shouldn’t do something as innocent as signing your art."
"How Hanging Transforms Your Body","How (Simple Action) (Big Result)","+1015","Desire – This creator would love to transform their body, especially by doing something as simple as hanging. Curiosity – This builds curiosity two ways: It opens a loop and makes you want to know how it transforms your body and what it does to you.



It’s a bit counterintuitive because how would something as simple as just hanging transform your body? New Opportunity – Most videos in this niche are about exercises to help you achieve your goals. Hanging is new*, weird, and simple. If you haven’t tried hanging, and you want to transform your body, this new opportunity gives you hope because this might be the answer you’ve been looking for. *If you’re in this niche it might not be new to you, but to many people it’s new."
"5 minutes and you’ll forget about glasses in 2024!","5 minutes and you’ll forget about (Problem) in (Current Year)!","+491","Negativity – This is all about forgetting a problem this creator’s audience struggles with. (Yes, I know glasses are technically a solution to a problem, but this audience would rather see without glasses, so in this context, glasses are a problem.) Curiosity – This opens a loop and makes you wonder what’s this solution that only takes 5 minutes and will let you forget about glasses. Time Frame – The time frame of “5 minutes” makes this feel like a simple solution since it’s so short. Timeliness – Dropping “in 2024” lets people know this is relevant right now and speaks specifically to those people who are saying, “Whelp, I guess I gotta get glasses this year.”"
"7 HIDDEN Apps in Microsoft 365 that will EXPLODE Productivity","7 HIDDEN (Tools) that will (Achieve Goal)","+709","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Curiosity – “Hidden” makes you feel like you’re getting insider knowledge on secret apps. Desire – This creator’s audience would love to explode their productivity. *Quick note about clickbait here. “HIDDEN” and “EXPLODE” in all caps might make make this title come off to some as being too clickbaity. Sure, it does feel a little bit dramatic, but how much hype and emotion you want to convey in your title is totally up to you. Another way he could’ve written this if he wanted to tone it down a bit is, “7 Hidden Apps in Microsoft 365 that saved me 10 hours per week”. A little bit more specific and less dramatic. But again, this is up to you, your channel, your audience, and the vibe you want to give off. And since this worked so well for this creator, I can’t knock him for it."
"I Invested $5 a Day for 2 1/2 Years. Here’s What Happened.","I (Activity) a Day for (Long Time Frame). Here’s What Happened.","+713","Curiosity – “Here’s What Happened” opens a loop and makes you want to know what happened. Time Frame – The time frame of 2 1/2 years adds credibility to this because it’s so long. It makes you value and trust this video more. Daily – Investing $5 every day makes this video more tangible, simple to understand, and interesting. “I Invested $4,565 over 2 1/2 years” sounds more complicated and less interesting than “I Invested $5 a Day for 2 1/2 Years.” Credibility – This isn’t about theory or a hypothetical situation, this creator is showing what he actually did. This adds credibility and makes you more interested in the video and trust the creator."
"How I travel the world with just a carry-on  (pack with me for Europe!)","How I (Cool Activity) with (Constraint)","+837","Desire – This creator’s audience would love to travel the world and they’d like to do it without having to lug around lots of big bags. Constraint – The constrait of “with just a carry-on” makes this more challenging and interesting, and increases the desire."
"Restore this MUSCLE and your BACK will be like NEW!","","-90","This title isn’t clear or simple enough. What does “Restore this muscle” actually mean? A better way to write this could be, “Do These 3 EXERCISES Every Day and your BACK will be like NEW!” Exercises are more tangible and clear than restoring muscles. And since restoring a muscle doesn’t really mean anything, so you’re less interested in this video. To avoid this mistake, use words in your title that your audience uses and understands. Alright, that wraps up this week’s Creator Hooks! Hope you enjoyed this week’s edition and if you know a fellow creator who needs help writing better titles, please send them to creatorhooks.com. – Jake (@jthomas__ on Twitter) P.S. Read previous editions here. P.P.S. If you want to see all of the videos from Creator Hooks in one place, check out Creator Hooks Pro. Read last week’s edition »"
"The 2023 NBA Draft Looks Completely Different 1 Year Later","The (Event or Entity) Looks Completely Different 1 Year Later","+430","Curiosity – “Looks Completely Different” is open-ended and makes you wonder what it looks like now. Time Frame – “1 Year Later” makes this video more tangible and interesting. Timeliness – This video was published a bit before the 2024 NBA Draft, when everybody was talking about the Draft."
"My honest advice to someone who wants financial freedom","My honest advice to someone who wants (Goal)","+493","Desire – This creator’s audience wants financial freedom. Authenticity – Authenticity is working really well on YouTube right now and “my honest advice” fits right in with that wave. Authority – Although this isn’t shown in the title, Ali has lots of authority when it comes to financial freedom, so he’s somebody whose “honest advice” is worth listening to."
"The Top Reasons People Regret Moving To Tampa Florida","The Top Reasons People Regret (Action)","+1004","Negativity – Regrets make great video topics because they’re such powerful, tangible, negative emotions. Nobody wants to accidentally make a mistake and have to live with regrets."
"This MICRO Canal is Actually Loaded w/ Fish? (Insane)","This (Unimpressive Entity) is Actually (Unexpected, Desirable Trait)","+1132","Desire – This creator’s audience would love to find a canal loaded with fish. Curiosity – There’s contrast and counterintuitiveness here. You might think a micro canal (especially the one in the thumbnail that looks like it’s in a desert) would have no fish, but this title says it’s actually loaded with fish."
"pretending I SUCK at drawing, then drawing them","pretending I SUCK at (Activity), then (Activity)","+539","Curiosity – This builds so much curiosity because you want to see how the people will react once they realize this creator is actually a pro at drawing, and not a scrub like they originally thought. The drastic difference of the expectation of the audience (this creator sucks at drawing) vs. reality (they’re excellent) convinces us that their reaction will be entertaining."
"We Accidentally Started A Chocolate Company — Now It Brings In $162 Million A Year","We Accidentally (Activity) — Now It (Achieves Huge Goal)","+612","Desire – This channel’s audience would love to start a business that makes $162 million/year. Plus, doing it with a chocolate company (instead of something boring, like plumbing) makes this story even more appealing. Curiosity – It’s counterintuitive to “accidentally” do something really hard, like starting a business that makes $162 million/year, so this builds curiosity and interest."
"Quick T-Shirt Tricks to Tighten a Loose Neckline","Quick (Entity) Tricks to (Solve Problem)","+2483","Negativity – This is about solving a problem — loose necklines. And the thumbnail drives a lot of this video’s success because it shows an easy-to-understand solution to a common problem. Desire – Not only does this creator’s audience want tricks to solve a problem, but people love speed, so “quick” adds to the desire here."
"7 Signs of Undiagnosed Autism in Adults","7 Signs of (Unrealized Trait) in (Specific Audience)","+3446","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Confirms Suspicions – A lot of people are suspicious they might have autism, and this video invites them to watch and confirm (or refute) their suspicions. Negativity – In addition to confirming suspicions in some people, there might also be an element of fear for others. They might see this title and think, “Omg, do I have undiagnosed Autism? I need to watch this!” Specific Audience – By saying this is about “Autism in Adults” it makes it clear who this video is for, which makes adults who think they might have autism feel like this video was made just for them."
"How I Created Realistic AI Influencer from Scratch | AI Model","How I Created (Exciting, Trending Achievement) from Scratch","+399","Desire – This creator’s audience wants to build cool tech products like AI influencers. Plus, making it “from scratch” makes it seem like anyone can do it. Timeliness – Everybody is talking about AI and all the things it can do right now, so this video rides that wave."
"Why don’t we eat carnivores?","Why don’t we (Thing We Surprisingly Never Do)?","+536","Curiosity – I don’t typically like questions as YouTube titles unless they’re really good ones, like this. This makes you go, “Huh, that’s a great question. It should be possible. I wonder why…”"
"Worst Punishments Throughout Human History","Worst (Entities) Throughout (Category) History","+1245","Negativity – People love hearing about scary things like the worst punishments. Extreme & Epic – “Worst” makes this feel extreme (it’s not about just “Really Bad Punishments”) and “Throughout Human History” makes this feel epic."
"What I learned approaching 1000 women in 1000 days","What I learned (Activity for a large number of times) in (Time Frame)","+17919","Desire – This creator’s audience wants to learn more about talking to women. Credibility – This isn’t just him preaching about how to talk to girls, he’s sharing lessons he learned by actually getting out there and talking to girls. Time Frame – The time frame of 1000 days makes this video feel more tangible, real, and interesting."
"7 Beginner Raised Bed Garden Mistakes to Avoid","7 Beginner (Entity) Mistakes to Avoid","+1034","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Negativity – Mistakes make for great video topics because we all want to avoid them. Beginner – Calling out beginners makes beginners feel like this video was made for them. This works so well because beginners are the biggest group in any audience and they’re the hungriest to learn."
"The ONE Sign Someone Is Trained to Fight","The ONE Sign (Something Scary is True)","+1400","Curiosity – This opens a loop and makes you wonder what the one sign is. I think the fact that this is only about one sign intensifies the curiosity (as opposed to 5-10 signs). Plus, it makes this video less intimidating to click on and watch because you just wanna know what the one sign is. Negativity – There’s an undertone of fear here because nobody wants to accidentally fight somebody trained to fight."
"OUTWORK everyone by being bored","(Activity) by being (Unexpected or Opposite Activity)","+1509","Curiosity – This is counterintuitive. How can you outwork everyone by being bored? Desire – This creator’s audience wants to outwork everyone (and they probably don’t want to work that hard — they’d rather be bored)."
"6 TRIPOD Shots that make EVERYTHING CINEMATIC!","6 (Easy Things) that make EVERYTHING (Hard, Desirable Goal)!","+4344","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Desire – This leverages desire two ways: 1) This creator’s audience wants to make cinematic videos. 2) Tripod shots are easier than other, more complicated, shots that you would expect to have to take if you want cinematic videos. Curiosity – The contrast between “tripod shots” (easy) and “cinematic” (a more complicated goal) builds curiosity."
"Firing Up a Vietnam-Era Flamethrower","","-82","This video doesn’t match what the audience wants from this channel. Sure, this is a cool flame thrower and this is a pretty entertaining video, but what does the audience want? Here are some of this creator’s most successful recent videos: The ONE Tool That Turns Your Home Into an Unbreachable Fortress



The 4 Most Dangerous Scams To Look Out for in 2024



The ONE Sign Someone Is Trained to Fight All of these videos promise a benefit to the audience to help keep them safe, but this flame thrower video just promises a little entertainment. To avoid this mistake, know why your audience watches your channel and deliver on that. Alright, that wraps up this week’s Creator Hooks! Hope you enjoyed this week’s edition and if you know a fellow creator who needs help writing better titles, please send them to creatorhooks.com. – Jake (@jthomas__ on Twitter) P.S. Read previous editions here. P.P.S. If you want to see all of the videos from Creator Hooks in one place, check out Creator Hooks Pro. Read last week’s edition »"
"Here Are 10 SUVs you MUST AVOID!","Here Are 10 (Entities) you MUST AVOID!","+398","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Negativity – Warnings like this make for great video topics because people don’t want to buy something bad accidentally. Curiosity – The combo of a warning and a list builds a ton of curiosity because you want to know what’s on the list."
"How To Dress Like A RICH WOMAN | Rich Mom Outfits","How To (Activity) Like A (Person You Wanna Be Like)","+1719","Desire – This is an awesome example of knowing your audience. This title could’ve been, “How To Dress Better,” which technically gets the same point across, but speaks less to the deep, specific, tangible desire of this audience. Authority – This creator’s audience wants to dress like rich women."
"Insulated Tent Inside Insulated Tent | Bitter Cold Winter Camping","(Entity) Inside (Same Entity)","+2164","Curiosity – This builds curiosity because you don’t expect it, and you probably haven’t seen anyone else do it, but it also kinda makes a lot of sense."
"I NEVER Felt Like Reading The Bible (How I Changed)","I NEVER Felt Like [Doing Something You Should Do] (How I Changed)","+2506","Negativity – This does a great job at relating to and describing a problem this audience struggles with. Desire – This creator’s audience wants to change and start reading the bible more."
"I Was Surprised By This!! (Unveiling The Denvix Tire Inflator)","","-97","This video clearly doesn’t fit with the rest on this channel: The Top 10 Reliable Luxury Cars You Can Safely Own AFTER Warranty!



AVOID These Junk Cars With The Most Unreliable Engines EVER!



STOP Buying NOW: The Worst Car Brands EVER! Most of the videos on this channel are about types of cars, not car accessories, like this video. On top of that, it’s clearly an ad. Now maybe his sponsorship deal said he had to include the product name in the title, but there are a few others angles he could’ve taken with this video and title: “I Never Leave Home Without This In My Car” This title is a warning and builds curiosity by not saying what the product is. By telling the audience what the product is in the current title, he gives them a chance to say, “No, I don’t want to watch a video about a tire inflator,” (even though they may not realize they really need one and this one has cool benefits and features they didn’t know about). Here’s another angle he could’ve taken: “5 Accessories Everybody Needs In Their Car” This feels less like an ad and opens the opportunity to naturally mention the product while still giving the audience a lot of value. Alright, that wraps up this week’s Creator Hooks! Hope you enjoyed this week’s edition and if you know a fellow creator who needs help writing better titles, please send them to creatorhooks.com. – Jake (@jthomas__ on Twitter) P.S. Read previous editions here. P.P.S. If you want to see all of the videos from Creator Hooks in one place, check out Creator Hooks Pro. Read last week’s edition »"
"The WORST THINGS about living in Baltimore will surprise YOU!","The WORST THINGS about (Thing Your Audience Wants To Do) will surprise YOU!","+621","Negativity – We love hearing about the worst things about something we’re considering doing because we don’t want to make a mistake and do something we’d regret. Curiosity – “will surprise you” implies that you’re gonna learn a secret or something unexpected in this video."
"How The Crips Gang Actually Works | How Crime Works | Insider","How (Big, Scary Thing) Actually Works","+749","Negativity – People love scary things, like gangs. Curiosity – “Actually” implies you didn’t really know before, but now you’re finally going to learn the truth. Familiar, Yet Unknown – Everybody knows who the Crips are, but most people don’t know anything about them, which makes for a great, curiosity-filled topic."
"It’s actually pretty easy to get ahead of 99% of people.","It’s actually pretty easy to (Achieve Goal Better Than) 99% of people.","+1518","Desire – This creator’s audience wants to get ahead of 99% of people. Curiosity – It’s hard to get ahead of 99% of people, so this title is counterintuitive. It makes you think, “Am I missing something?” Confidence – The casual nature of this title and the bold statement that something really hard is easy gives off a feeling of confidence that is intoxicating."
"Be Extremely Careful When Peeling The Sticker Of Any Fruit","Be Extremely Careful When (Doing Common or Simple Innocent Thing)","+1566","Negativity – Warnings like this do a great job of grabbing people’s attention and getting them to click. Curiosity – This is counterintuitive because peeling the sticker of of fruits seems like a simple, innocent thing, so why would you need to be extremely careful?"
"This strategy guarantees you get into the Ivy League.","","-92","Most of this creator’s successful videos are broadly appealing, like: You’ve been reading wrong all your life.



This odd mindset shift cured my procrastination forever.



It’s actually pretty easy to get ahead of 99% of people. Nearly everybody can watch and enjoy these videos, but this Ivy League video has only a fraction of the potential audience. One thing he could’ve done was make it a bit broader, like this: “This strategy guarantees you get into your dream school.” (I don’t necessarily love this because it feels like I might be watering the idea down — just throwing it out there as one potential way to broaden it up.) Another thing he could do in the future is just stick to more broadly appealing topics. Now all that being said, this creator offers coaching services to Ivy League applicants. It’s possible he’s making more money from these 9.8K viewers than on some of his videos that are getting over 100K views. If that’s the case, he may want to make even more Ivy League-specific content. Of course, when thinking about strategy for your channel, it all about your goals for the channel. Do you want to maximize views? Or do you have a better way to monetize and it’s actually smarter to go for a smaller, more specific audience? Alright, that wraps up this week’s Creator Hooks! Hope you enjoyed this week’s edition and if you know a fellow creator who needs help writing better titles, please send them to creatorhooks.com. – Jake (@jthomas__ on Twitter) P.S. Read previous editions here. P.P.S. If you want to see all of the videos from Creator Hooks in one place, check out Creator Hooks Pro. Read last week’s edition »"
"The (Overdue) Collapse of the 9-5 Job","The ([Dramatic Description]) Collapse of the [Current Thing]","+452","Negativity – There’s a lot of drama and negativity in this title, which grabs people’s attention and makes it interesting. Confirm Suspicions – Many people these days have been feeling like a regular 9-5 just isn’t working anymore, so this title confirms that suspicion. Curiosity – “(Overdue)” adds a twist and bit of tension to this title, which makes it more interesting."
"12 Things NOT to do in Paris (by a Local)!","12 Things NOT to do in [Entity] (by a [Person with Credibility])!","+862","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Negativity – Telling people what NOT to do grabs people’s attention because it’s a warning and we’re scared of something bad happening if we accidentally do those things."
"10 Year Gaming Setup Progression…","10 Year (Entity) Progression…","+4390","Time Frame – “10 Year” makes this video more interesting because it increases the magnitude of this change and even hints that you’re gonna get some nostalgia. Desire – This creator’s audience loves gaming setups."
"Strong Legs For Seniors (The ONLY Leg Workout You Need!) 65+","[Benefit] For [Specific Audience] (The ONLY [Activity] You Need!) [Specific Audience]","+6123","Desire – This creator’s audience wants stronger legs. Specific Audience – By calling out seniors and 65+, that group of people feels like this video was made just for them, so they’re more likely to click. Curiosity – This builds curiosity two ways: 1) “The ONLY” adds a constraint which makes this more interesting. 2) It opens a loop and makes you wonder what this leg workout is."
"Should you Study SPANISH Alone or in a Group? | How to Improve your Spanish: Self-study vs Groups","","-78","Bold statements often make for better titles than questions. (Question titles do better when they’re common questions everybody has asked themselves.) But by asking this question she’s excluding the people who think they don’t want to study Spanish in a group. It might’ve been better if the title was something like, “The Easiest Way To Learn Spanish FASTER.” This is a bold statement that adds curiosity and leverages desire, and gives her a chance to convince people who think they don’t want to study in a group to change their mind if they want to learn Spanish faster. (Of course, this is all assuming that it’s better to study in a group than alone.) In addition to the statement vs question bit, this title is super long and complicated. Alright, that wraps up this week’s Creator Hooks! Hope you enjoyed this week’s edition and if you know a fellow creator who needs help writing better titles, please send them to creatorhooks.com. – Jake (@jthomas__ on Twitter) P.S. Read previous editions here. P.P.S. If you want to see all of the videos from Creator Hooks in one place, check out Creator Hooks Pro. Read last week’s edition »"
"How I learned to draw better faces in a week","How I learned to (Achieve Goal) in a week","+446","Desire – This creator’s audience wants to get better at drawing faces. Time Frame – We all want to achieve our goals faster and “in a week” promises this video will do that."
"“What’s Coming Is WORSE Than A Recession” — Jim Rickards’ Last WARNING","“What’s Coming Is WORSE Than A (Known Bad Event)” — (Authority Figure’s) Last WARNING","+480","Negativity – Warnings do a great job of grabbing people’s attention and getting them to click. Curiosity – This builds curiosity because it opens a loop and makes you wonder what’s coming. Anchoring – We all know what a recession is, so saying “What’s Coming Is WORSE Than A Recession” makes this feel more tangible and scary. Authority – Although I don’t think this is as strong as the curiosity and negativity, Jim Rickards’s name brings some credibility and authority here. Urgency – “Last Warning” brings some urgency to this video."
"The SCAM Bagged Soil Companies Don’t Want You To Know","The SCAM (Entity or Authority) Doesn’t Want You To Know","+2162","Negativity – “SCAM” does a great job of instilling fear and getting the audience’s attention and interest (we all love hearing about a juicy scam). Curiosity – This builds curiosity two ways: 1) “Don’t Want You To Know” makes you feel like you’re getting in on a secret. 2) It opens a loop and makes you want to know what the scam is. Authority – “Bagged Soil Companies” gives this title rebellious “stick it to the man” vibes."
"5 Things Successful People Do Before 8AM","5 Things (Aspirational Group) Do Before (Time or Event)","+2440","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Desire – This creator’s audience wants to be successful. Plus, our culture is obsessed with morning routines. Authority – This title is more interesting because it’s about what “successful people” do. Time Frame – Consider “5 Things Successful People Do” vs. “5 Things Successful People Do Before 8AM”. The second is more interesting, right? “Before 8AM” makes this video feel more tangible and, therefore, more interesting."
"I made Princess Peach IMMUNE to Bowser","","-80","Most of the successful videos on this channel are about how the audience can improve their drawing skills. This video doesn’t follow that trend — it’s about the creator demonstrating her skills. While this may be a good topic, it might’ve gotten more views if the title and intro were positioned as a clear benefit to the audience. To avoid a flop like this on your channel, know why your audience watches your channel and deliver on that premise in every video. Alright, that wraps up this week’s Creator Hooks! Hope you enjoyed this week’s edition and if you know a fellow creator who needs help writing better titles, please send them to creatorhooks.com. – Jake (@jthomas__ on Twitter) P.S. Read previous editions here. P.P.S. If you want to see all of the videos from Creator Hooks in one place, check out Creator Hooks Pro. Read last week’s edition »"
"Where Do NYC Cab Drivers Eat?","Where Do (People With Credibility) (Activity)?","+317","Credibility – NYC Cab Drivers have lots of credibility when it comes to living in NYC, so where they eat makes you feel like you’re learning where the real locals eat. Desire – This channel’s audience wants to know where local New Yorkers eat. Curiosity – This title builds curiosity by asking a question."
"What Is Out of Style in 2024 and What to Wear Instead","What Is (Unpopular) in (Current Year) and What to (Activity) Instead","+391","Negativity – Nobody wants to wear out-of-style clothes, so this title leverages that fear. Timeliness – This video was published at the beginning of 2024 when people were considering what was in style"
"The mindset that changed my life IMMEDIATELY","The (Entity) that (Achieved Goal) IMMEDIATELY","+1111","Desire – This leverages desire two ways: 1) Many people want to change their life. 2) Speed is important to everybody, so “IMMEDIATELY” increases the desire here. Curiosity – This opens a loop and makes you wonder what this mindset is."
"The Most Terrifying Man of the Vietnam War","The Most Terrifying (Entity) of the (Event)","+2435","Extreme – Telling stories about extreme things, like “The Most Terrifying Man,” often make an interesting video. Negativity – People love dramatic and terrifying stories like this. Curiosity – The man’s face in the thumbnail looks pretty innocent, so the contrast between his innocent-looking face and the title builds lots of interest and curiosity."
